dataset,model,fold,seed,accuracy,macro_f1,weighted_f1,uar,best_val_macro_f1,selected_epoch
ravdess,Handcrafted SVM-RBF,3,deterministic,0.5681818181818182,0.5428614643405141,0.5652764796172611,0.5375000000000001,,
ravdess,Handcrafted MLP,3,42,0.5181818181818182,0.502927197970784,0.5151550293652571,0.5041666666666668,0.5297809737432378,12.0
ravdess,emotion2vec MLP,3,42,0.95,0.9441769142435686,0.9509597957755928,0.9541666666666667,0.9654377880184333,22.0
ravdess,Concat Fusion MLP,3,42,0.95,0.9454937106400946,0.9506396035265678,0.9541666666666667,0.9818873256373256,8.0
ravdess,Handcrafted MLP,3,123,0.5136363636363637,0.5123240812011945,0.5255038214217114,0.5083333333333334,0.47872338537297815,13.0
ravdess,emotion2vec MLP,3,123,0.9454545454545454,0.940931633065513,0.9456627916270244,0.9499999999999998,0.9602321215224441,5.0
ravdess,Concat Fusion MLP,3,123,0.9545454545454546,0.9497236107643984,0.9552540400258084,0.9583333333333335,0.9818873256373256,3.0
ravdess,Handcrafted MLP,3,2024,0.509090909090909,0.5030233221505378,0.5149260765955127,0.5,0.5066635212964578,17.0
ravdess,emotion2vec MLP,3,2024,0.9454545454545454,0.9397861924477836,0.9461699174529182,0.9500000000000001,0.9654377880184333,9.0
ravdess,Concat Fusion MLP,3,2024,0.9363636363636364,0.9275033184475746,0.9383208348248203,0.9375,0.9923039923039924,18.0
ravdess,Handcrafted SVM-RBF,4,deterministic,0.5409090909090909,0.5219154663287359,0.5329986905404391,0.5208333333333334,,
ravdess,Handcrafted MLP,4,42,0.5454545454545454,0.5357556654853248,0.5375399048696213,0.5333333333333334,0.48327435917923195,19.0
ravdess,emotion2vec MLP,4,42,0.9636363636363636,0.9609284931293112,0.9637190326738363,0.9666666666666668,0.9651607651607653,6.0
ravdess,Concat Fusion MLP,4,42,0.9954545454545455,0.9958326821899255,0.9954538351162825,0.9958333333333332,0.9870943870943871,2.0
ravdess,Handcrafted MLP,4,123,0.5136363636363637,0.5047005226624169,0.5078016396958988,0.5041666666666667,0.5025655051698871,7.0
ravdess,emotion2vec MLP,4,123,0.9863636363636363,0.9854385276154684,0.9863320522989145,0.9874999999999999,0.979696739807034,13.0
ravdess,Concat Fusion MLP,4,123,0.9954545454545455,0.9958326821899255,0.9954538351162825,0.9958333333333332,0.9818873256373256,3.0
ravdess,Handcrafted MLP,4,2024,0.5727272727272728,0.5715446362994718,0.5684068208666416,0.5666666666666667,0.4867307555628761,27.0
ravdess,emotion2vec MLP,4,2024,0.9818181818181818,0.9812718609488016,0.98178659775346,0.9833333333333334,0.9654377880184333,4.0
ravdess,Concat Fusion MLP,4,2024,0.990909090909091,0.9916660155232587,0.9909083805708279,0.9916666666666667,0.9870943870943871,6.0
ravdess,Handcrafted SVM-RBF,5,deterministic,0.4772727272727273,0.47893772409680824,0.4897502444692454,0.484375,,
ravdess,Handcrafted MLP,5,42,0.5056818181818182,0.5140062990940183,0.5236971074291649,0.5208333333333334,0.5708136170989188,15.0
ravdess,emotion2vec MLP,5,42,0.9659090909090909,0.960457105618396,0.9656599509971944,0.9583333333333334,0.9668447501951601,4.0
ravdess,Concat Fusion MLP,5,42,0.9715909090909091,0.9656716827079731,0.9713485805494603,0.9635416666666666,1.0,12.0
ravdess,Handcrafted MLP,5,123,0.5113636363636364,0.5201374311259278,0.5241326088473325,0.5208333333333334,0.568765543711233,17.0
ravdess,emotion2vec MLP,5,123,0.9715909090909091,0.9656716827079731,0.9713485805494603,0.9635416666666666,0.9720390720390721,5.0
ravdess,Concat Fusion MLP,5,123,0.9659090909090909,0.960457105618396,0.9656599509971944,0.9583333333333334,0.9947903947903948,9.0
ravdess,Handcrafted MLP,5,2024,0.5,0.49874198343759546,0.5058046517883817,0.5208333333333334,0.5770932589133294,7.0
